count_sensitive_files,has_high_sensitivity,max_file_confidence,avg_sensitivity_score,num_open_ports,has_web_port,num_high_ports,is_admin,interesting_env_keys,last_action,action_label
0,0,0.0013,0.0013,3,1,3,0,0,SIM_SCAN_PORT,SIM_SCAN_PORT
5,1,0.9035,0.7187,0,1,0,0,0,SIM_COLLECT_TELEMETRY,SIM_READ_FILE
0,0,0.2664,0.2664,2,0,2,0,1,SIM_SCAN_PORT,SIM_READ_ENV
0,0,0.1956,0.1956,3,0,3,0,0,SIM_SCAN_PORT,SIM_COLLECT_TELEMETRY
0,0,0.0354,0.0354,0,0,0,1,1,SIM_SCAN_PORT,SIM_LIST_PROCESSES
6,1,0.9244,0.6774,2,1,2,0,1,SIM_READ_ENV,SIM_READ_FILE
1,1,0.9784,0.4532,1,1,1,0,0,SIM_LIST_PROCESSES,SIM_READ_FILE
0,0,0.0146,0.0146,2,0,2,0,0,SIM_NO_OP,SIM_NO_OP
6,0,0.8615,0.6048,1,1,0,0,1,SIM_READ_ENV,SIM_SCAN_PORT
0,0,0.0179,0.0179,1,0,0,0,0,SIM_LIST_PROCESSES,SIM_COLLECT_TELEMETRY
3,1,0.9807,0.5699,0,1,0,0,1,SIM_LIST_PROCESSES,SIM_READ_FILE
0,0,0.0131,0.0131,3,0,2,0,1,SIM_LIST_PROCESSES,SIM_READ_ENV
0,0,0.2868,0.2868,1,1,1,0,2,SIM_COLLECT_TELEMETRY,SIM_NO_OP
0,0,0.0292,0.0292,2,0,2,0,0,SIM_SCAN_PORT,SIM_SCAN_PORT
0,0,0.0327,0.0327,3,0,2,0,0,SIM_LIST_PROCESSES,SIM_COLLECT_TELEMETRY
0,0,0.054,0.054,2,1,1,0,0,SIM_READ_FILE,SIM_SCAN_PORT
0,0,0.2359,0.2359,4,1,3,0,0,SIM_NO_OP,SIM_SCAN_PORT
5,1,0.9157,0.8451,1,0,1,0,2,SIM_SCAN_PORT,SIM_READ_FILE
0,0,0.1184,0.1184,4,0,3,0,3,SIM_SCAN_PORT,SIM_SCAN_PORT
0,0,0.0294,0.0294,3,0,3,1,1,SIM_COLLECT_TELEMETRY,SIM_LIST_PROCESSES
0,0,0.0401,0.0401,0,0,0,1,1,SIM_READ_ENV,SIM_LIST_PROCESSES
0,0,0.0847,0.0847,3,1,3,0,1,SIM_READ_ENV,SIM_NO_OP
0,0,0.0599,0.0599,2,0,1,0,0,SIM_COLLECT_TELEMETRY,SIM_COLLECT_TELEMETRY
0,0,0.0042,0.0042,4,0,4,0,0,SIM_LIST_PROCESSES,SIM_SCAN_PORT
0,0,0.1655,0.1655,1,1,0,0,0,SIM_SCAN_PORT,SIM_SCAN_PORT
3,1,0.9667,0.8742,5,0,5,0,0,SIM_READ_FILE,SIM_READ_FILE
