filename,extension,filesize_kb,file_path,date_modified,sensitive,keywords
lab_9926.csv,.csv,18,C:/Healthcare/LabResults/,2023-09-28T06:11:29,0,[]
ledger_10283.csv,.csv,88,C:/Finance/Accounts/,2024-09-03T04:01:26,1,[]
guideline_2382.xlsx,.xlsx,300,C:/Finance/Internal/,2022-01-04T14:22:39,0,[]
notice_11541.pdf,.pdf,2747,C:/Finance/PublicInfo/,2025-02-27T11:33:01,0,[]
guideline_23204.pdf,.pdf,506,C:/Healthcare/Internal/,2023-08-19T06:25:58,0,[]
agreement_5508.pdf,.pdf,106,C:/Finance/Loans/,2025-12-30T11:14:45,0,[]
policy_24079.docx,.docx,130,C:/Healthcare/Insurance/,2025-04-06T17:38:55,1,[]
loan_contract_ledger_23121.csv,.csv,72,C:/Finance/Accounts/,2024-07-31T13:42:46,0,['loan_contract']
credit_report_account_18668.xlsx,.xlsx,45,C:/Finance/Accounts/,2023-05-07T07:33:14,1,['credit_report']
schedule_18464.csv,.csv,135,C:/Finance/PublicInfo/,2023-05-01T11:27:55,1,[]
minutes_14772.txt,.txt,60,C:/Healthcare/Meetings/,2024-03-25T06:23:39,0,[]
reimbursement_4994.csv,.csv,618,C:/Healthcare/Insurance/,2024-10-05T10:59:14,1,[]
procedure_6959.docx,.docx,605,C:/Healthcare/Internal/,2023-06-22T07:38:59,0,[]
audit_guideline_23321.docx,.docx,317,C:/Healthcare/Internal/,2024-07-16T20:44:45,0,['audit']
salary_salary_4370.xlsx,.xlsx,1109,C:/Finance/HR/,2025-09-13T05:12:50,1,['salary']
protocol_19160.pdf,.pdf,1311,C:/Healthcare/Internal/,2024-03-08T04:56:39,0,[]
memo_7006.xlsx,.xlsx,1813,C:/Finance/Reports/,2024-03-27T05:24:08,0,[]
ledger_4728.xlsx,.xlsx,624,C:/Finance/Accounts/,2024-10-23T12:04:15,1,[]
contract_14381.docx,.docx,554,C:/Finance/Customers/,2022-11-11T01:31:02,1,[]
ssn_patient_21886.csv,.csv,607,C:/Healthcare/Patients/,2024-09-12T08:24:25,0,['ssn']
shift_1380.xlsx,.xlsx,1204,C:/Healthcare/StaffSchedules/,2025-01-22T15:44:11,1,[]
procedure_5942.pdf,.pdf,1465,C:/Healthcare/Internal/,2024-04-23T12:20:36,0,[]
roster_2236.pdf,.pdf,844,C:/Finance/HR/,2024-03-21T17:57:11,1,[]
contract_22325.csv,.csv,727,C:/Finance/Customers/,2025-02-14T03:38:42,1,[]
info_7675.txt,.txt,132,C:/Healthcare/PublicInfo/,2025-12-27T11:31:52,0,[]
procedure_21429.docx,.docx,445,C:/Healthcare/Internal/,2024-09-12T18:11:00,0,[]
results_7908.pdf,.pdf,2137,C:/Healthcare/LabResults/,2024-04-18T06:47:41,0,[]
pin_protocol_0150.docx,.docx,204,C:/Finance/Internal/,2022-01-10T11:38:25,0,['pin']
menu_21262.pdf,.pdf,17,C:/Healthcare/PublicInfo/,2023-05-11T22:12:38,0,[]
info_23345.pdf,.pdf,136,C:/Finance/PublicInfo/,2023-12-27T16:41:46,0,[]
shift_0497.pdf,.pdf,585,C:/Healthcare/StaffSchedules/,2025-11-11T22:23:46,0,[]
passwords_roster_4693.pdf,.pdf,1,C:/Finance/HR/,2025-10-11T04:12:58,0,['passwords']
payroll_agenda_23143.docx,.docx,370,C:/Healthcare/Meetings/,2024-12-23T05:02:05,0,['payroll']
shift_8085.pdf,.pdf,1159,C:/Healthcare/StaffSchedules/,2023-07-22T08:09:56,0,[]
report_0213.csv,.csv,302,C:/Finance/Reports/,2024-06-14T23:35:24,1,[]
account_number_roster_21743.pdf,.pdf,2506,C:/Finance/HR/,2024-03-07T16:58:12,0,['account_number']
notice_3159.txt,.txt,48,C:/Finance/PublicInfo/,2024-04-26T05:38:17,0,[]
roster_22734.docx,.docx,583,C:/Finance/HR/,2023-08-23T03:44:13,1,[]
invoice_14997.pdf,.pdf,1507,C:/Healthcare/Insurance/,2025-07-03T04:44:02,0,[]
notice_24125.txt,.txt,121,C:/Healthcare/PublicInfo/,2023-06-15T08:12:08,1,[]
balance_7876.xlsx,.xlsx,1171,C:/Finance/Accounts/,2025-10-11T08:05:00,0,[]
agenda_12291.txt,.txt,85,C:/Healthcare/Meetings/,2023-12-23T10:18:39,1,[]
prescription_invoice_7099.pdf,.pdf,1659,C:/Healthcare/Insurance/,2024-03-02T14:13:16,1,['prescription']
credit_report_guideline_13653.xlsx,.xlsx,2618,C:/Finance/Internal/,2023-01-03T03:16:21,1,['credit_report']
minutes_15987.txt,.txt,130,C:/Healthcare/Meetings/,2024-02-09T01:42:07,1,[]
medical_roster_5072.xlsx,.xlsx,2021,C:/Healthcare/StaffSchedules/,2024-06-26T07:56:07,0,['medical']
salary_audit_11689.docx,.docx,675,C:/Finance/Compliance/,2024-08-12T12:07:19,1,['salary']
meeting_16765.txt,.txt,117,C:/Healthcare/Meetings/,2025-02-06T18:10:38,0,[]
contract_10542.pdf,.pdf,972,C:/Finance/Customers/,2025-02-28T05:34:36,1,[]
roster_19516.pdf,.pdf,25,C:/Healthcare/StaffSchedules/,2023-12-31T05:05:11,0,[]
protocol_15643.xlsx,.xlsx,1308,C:/Finance/Internal/,2024-03-14T14:12:48,1,[]
repayment_7670.docx,.docx,112,C:/Finance/Loans/,2025-11-18T05:04:38,0,[]
results_18632.xls,.xls,1382,C:/Healthcare/LabResults/,2025-11-20T11:31:15,1,[]
confidential_info_12770.pdf,.pdf,495,C:/Finance/PublicInfo/,2024-03-06T05:58:26,0,['confidential']
summary_21394.csv,.csv,174,C:/Finance/Reports/,2022-04-10T01:45:33,1,[]
contract_4368.docx,.docx,726,C:/Finance/Loans/,2024-12-07T13:33:33,1,[]
protocol_21393.docx,.docx,194,C:/Healthcare/Internal/,2024-10-16T16:02:59,0,[]
claim_9693.pdf,.pdf,147,C:/Healthcare/Insurance/,2025-01-08T23:41:34,0,[]
patient_20328.pdf,.pdf,1287,C:/Healthcare/Patients/,2023-11-02T00:11:27,1,[]
passwords_invoice_12673.csv,.csv,701,C:/Healthcare/Insurance/,2025-11-01T16:11:22,1,['passwords']
specimen_12278.pdf,.pdf,1835,C:/Healthcare/LabResults/,2023-02-26T06:42:14,0,[]
contract_8373.csv,.csv,72,C:/Finance/Customers/,2022-07-31T18:10:33,1,[]
account_number_report_15353.pdf,.pdf,1032,C:/Finance/HR/,2025-11-12T22:39:26,0,['account_number']
payroll_19947.docx,.docx,525,C:/Finance/HR/,2023-03-13T14:17:23,0,[]
tax_info_contract_4862.pdf,.pdf,2032,C:/Finance/Customers/,2023-09-21T23:09:33,0,['tax_info']
repayment_4607.pdf,.pdf,55,C:/Finance/Loans/,2022-04-15T15:57:31,0,[]
payroll_log_18346.pdf,.pdf,2037,C:/Healthcare/Maintenance/,2023-12-13T02:28:47,1,['payroll']
workorder_8968.xlsx,.xlsx,672,C:/Healthcare/Maintenance/,2025-03-29T18:04:54,0,[]
audit_loan_16039.docx,.docx,669,C:/Finance/Loans/,2022-07-07T08:30:31,1,['audit']
contract_21666.pdf,.pdf,1874,C:/Finance/Customers/,2025-04-09T19:00:51,0,[]
parking_16469.pdf,.pdf,599,C:/Healthcare/PublicInfo/,2023-07-02T08:00:31,1,[]
shift_15341.pdf,.pdf,1611,C:/Healthcare/StaffSchedules/,2023-05-26T09:35:31,0,[]
credentials_specimen_8629.pdf,.pdf,597,C:/Healthcare/LabResults/,2025-11-05T22:38:29,1,['credentials']
repayment_6785.xls,.xls,2561,C:/Finance/Loans/,2022-08-13T21:51:34,1,[]
transfer_1261.xlsx,.xlsx,169,C:/Finance/Transactions/,2024-11-07T14:00:46,1,[]
notice_1979.txt,.txt,59,C:/Finance/PublicInfo/,2022-06-29T22:24:07,0,[]
medical_lab_22134.xlsx,.xlsx,619,C:/Healthcare/LabResults/,2025-11-14T19:14:55,0,['medical']
summary_24846.xlsx,.xlsx,38,C:/Finance/Reports/,2025-12-06T09:49:57,0,[]
test_3445.xlsx,.xlsx,824,C:/Healthcare/LabResults/,2024-08-24T00:48:52,0,[]
loan_contract_statement_3212.csv,.csv,161,C:/Finance/Transactions/,2024-07-30T23:25:48,0,['loan_contract']
confidential_salary_15420.pdf,.pdf,560,C:/Finance/HR/,2023-12-13T07:06:49,1,['confidential']
report_21359.xlsx,.xlsx,1125,C:/Finance/Reports/,2025-07-14T03:49:31,0,[]
review_20190.pdf,.pdf,994,C:/Finance/Compliance/,2025-10-06T19:03:02,0,[]
