filename,extension,filesize_kb,file_path,date_modified,sensitive,keywords
info_0000.pdf,.pdf,2377,C:/Finance/Customers/,2024-04-27T04:44:17,1,[]
account_number_customer_0001.docx,.docx,43,C:/Finance/Customers/,2025-01-17T07:08:45,1,['account_number']
guideline_0002.pdf,.pdf,2194,C:/Finance/Internal/,2024-12-20T12:31:23,0,[]
guideline_0003.docx,.docx,626,C:/Finance/Compliance/,2023-07-12T15:43:16,0,[]
report_0004.xlsx,.xlsx,1310,C:/Finance/Reports/,2024-05-07T13:33:59,0,[]
roster_0005.xlsx,.xlsx,1138,C:/Finance/HR/,2023-03-26T13:09:54,0,[]
customer_0006.csv,.csv,327,C:/Finance/Customers/,2023-07-06T21:27:06,0,[]
transaction_0007.pdf,.pdf,816,C:/Finance/Transactions/,2023-08-13T11:07:27,1,[]
salary_0008.xlsx,.xlsx,685,C:/Finance/HR/,2022-02-19T20:47:01,0,[]
report_0009.xlsx,.xlsx,1039,C:/Finance/Reports/,2024-10-15T04:31:28,0,[]
ssn_schedule_0010.txt,.txt,154,C:/Finance/PublicInfo/,2023-10-28T13:10:14,1,['ssn']
guideline_0011.docx,.docx,303,C:/Finance/Compliance/,2024-09-01T16:53:02,1,[]
contract_0012.xlsx,.xlsx,896,C:/Finance/Loans/,2023-01-26T13:23:51,1,[]
procedure_0013.xlsx,.xlsx,230,C:/Finance/Internal/,2025-04-08T23:26:15,1,[]
memo_0014.pdf,.pdf,219,C:/Finance/Reports/,2024-02-17T15:12:10,1,[]
loan_0015.xls,.xls,614,C:/Finance/Loans/,2022-08-26T10:15:39,1,[]
report_0016.csv,.csv,34,C:/Finance/Reports/,2025-07-15T22:44:17,0,[]
salary_0017.docx,.docx,583,C:/Finance/HR/,2022-04-18T12:25:46,0,[]
policy_0018.xlsx,.xlsx,1092,C:/Finance/Internal/,2024-07-31T07:27:37,0,[]
guideline_0019.xlsx,.xlsx,1353,C:/Finance/Compliance/,2025-10-29T12:02:38,0,[]
policy_0020.pdf,.pdf,28,C:/Finance/Internal/,2022-12-09T02:17:57,0,[]
ledger_0021.xlsx,.xlsx,360,C:/Finance/Accounts/,2023-01-05T17:27:21,0,[]
salary_0022.xlsx,.xlsx,439,C:/Finance/HR/,2023-01-13T11:35:37,0,[]
credit_report_notice_0023.csv,.csv,86,C:/Finance/PublicInfo/,2025-02-06T13:55:04,1,['credit_report']
bank_statement_ledger_0024.pdf,.pdf,1486,C:/Finance/Accounts/,2022-10-23T11:30:07,1,['bank_statement']
guideline_0025.pdf,.pdf,255,C:/Finance/Internal/,2025-06-09T05:15:09,0,[]
procedure_0026.docx,.docx,276,C:/Finance/Internal/,2024-01-25T10:00:48,0,[]
schedule_0027.pdf,.pdf,429,C:/Finance/PublicInfo/,2025-12-10T07:05:50,1,[]
schedule_0028.pdf,.pdf,986,C:/Finance/PublicInfo/,2024-04-22T06:30:08,1,[]
audit_ledger_0029.pdf,.pdf,663,C:/Finance/Accounts/,2024-02-28T21:13:07,1,['audit']
customer_0030.csv,.csv,165,C:/Finance/Customers/,2025-10-15T00:19:00,0,[]
transaction_0031.xlsx,.xlsx,933,C:/Finance/Transactions/,2025-12-23T00:22:30,0,[]
roster_0032.docx,.docx,163,C:/Finance/HR/,2023-05-07T03:56:24,0,[]
account_number_customer_0033.pdf,.pdf,153,C:/Finance/Customers/,2022-04-17T20:43:33,1,['account_number']
transfer_0034.xlsx,.xlsx,1065,C:/Finance/Transactions/,2025-06-07T18:52:00,0,[]
protocol_0035.docx,.docx,1591,C:/Finance/Internal/,2025-10-14T02:53:38,1,[]
profile_0036.csv,.csv,146,C:/Finance/Customers/,2024-09-12T06:06:17,0,[]
roster_0037.pdf,.pdf,193,C:/Finance/HR/,2023-03-06T19:23:11,0,[]
balance_0038.xlsx,.xlsx,1329,C:/Finance/Accounts/,2023-10-27T09:19:26,1,[]
procedure_0039.docx,.docx,38,C:/Finance/Internal/,2023-07-28T13:22:10,0,[]
loan_contract_policy_0040.docx,.docx,441,C:/Finance/Internal/,2025-10-28T10:20:22,0,['loan_contract']
analysis_0041.pdf,.pdf,734,C:/Finance/Reports/,2024-08-22T03:56:17,0,[]
agreement_0042.xlsx,.xlsx,93,C:/Finance/Loans/,2022-02-08T12:06:09,0,[]
repayment_0043.xls,.xls,925,C:/Finance/Loans/,2023-01-21T12:20:43,1,[]
payroll_0044.docx,.docx,110,C:/Finance/HR/,2025-11-27T18:22:07,1,[]
