filename,extension,filesize_kb,file_path,date_modified,sensitivity
statement_profile_0000.pdf,.pdf,1451,C:/Finance/Customers/,2022-02-16T06:55:15,low
announcement_profile_0001.pdf,.pdf,111,C:/Finance/Customers/,2025-09-12T09:51:54,medium
analysis_account_0002.pdf,.pdf,1366,C:/Finance/Accounts/,2023-07-12T15:43:16,low
memo_0003.xlsx,.xlsx,30,C:/Finance/Reports/,2025-07-12T10:26:49,low
guidelines_procedure_0004_v2.xlsx,.xlsx,1166,C:/Finance/Internal/Policies/,2023-08-14T12:07:58,low
salary_0005.pdf,.pdf,681,C:/Finance/HR/,2024-10-03T16:30:37,medium
statement_profile_0006.docx,.docx,240,C:/Finance/Customers/,2023-05-19T18:08:11,low
loan_contract_audit_0007.xlsx,.xlsx,942,C:/Finance/Accounts/,2024-10-15T04:31:28,low
schedule_0008.txt,.txt,125,C:/Finance/PublicInfo/Announcements/,2023-10-28T13:10:14,medium
invoice_guideline_0009_final.pdf,.pdf,466,C:/Finance/Internal/Policies/,2024-07-15T11:44:25,medium
contract_0010.docx,.docx,727,C:/Finance/Customers/,2025-01-24T14:27:25,low
policy_info_0011_archived.docx,.docx,407,C:/Finance/Customers/,2024-02-17T15:12:10,high
transaction_agreement_0012.docx,.docx,151,C:/Finance/Loans/,2022-01-01T21:19:18,medium
loan_contract_protocol_0013.docx,.docx,22,C:/Finance/Internal/Policies/,2025-06-21T15:33:07,low
profile_0014.csv,.csv,532,C:/Finance/Customers/,2022-11-26T00:24:33,high
info_0015.csv,.csv,167,C:/Finance/PublicInfo/Guidelines/,2023-12-03T08:37:24,low
confidential_profile_0016.pdf,.pdf,1927,C:/Finance/Customers/,2022-02-18T19:09:35,low
ledger_analysis_0017.pdf,.pdf,721,C:/Finance/Reports/,2024-01-05T17:42:33,low
analysis_audit_0018.pdf,.pdf,351,C:/Finance/Compliance/,2022-06-02T21:17:03,low
info_ledger_0019.csv,.csv,318,C:/Finance/Accounts/,2023-01-24T01:27:33,medium
customer_0020_confidential.docx,.docx,572,C:/Finance/Customers/,2025-08-11T09:40:13,low
guidelines_summary_0021.csv,.csv,200,C:/Finance/Transactions/,2025-05-04T15:44:38,high
schedule_0022.pdf,.pdf,2323,C:/Finance/PublicInfo/Announcements/,2024-04-22T06:30:08,medium
tax_info_audit_0023.pdf,.pdf,664,C:/Finance/Accounts/,2022-10-16T16:03:24,high
profile_0024.docx,.docx,266,C:/Finance/Customers/,2022-03-03T17:40:35,low
protocol_0025.docx,.docx,201,C:/Finance/Internal/Policies/,2023-09-07T19:57:57,medium
loan_0026_confidential.xls,.xls,111,C:/Finance/Loans/,2023-02-16T23:23:17,low
agreement_0027.xlsx,.xlsx,1124,C:/Finance/Loans/,2024-08-08T04:59:59,high
info_0028.pdf,.pdf,431,C:/Finance/PublicInfo/Guidelines/,2025-10-14T02:53:38,medium
transaction_profile_0029.csv,.csv,137,C:/Finance/Customers/,2025-11-07T09:23:26,low
policy_ledger_0030_v2.xlsx,.xlsx,1612,C:/Finance/Accounts/,2023-10-27T09:19:26,medium
bank_statement_notice_0031.pdf,.pdf,297,C:/Finance/PublicInfo/Guidelines/,2023-04-24T20:42:15,low
report_0032.csv,.csv,404,C:/Finance/Reports/,2025-04-26T20:50:29,medium
menu_notice_0033.csv,.csv,422,C:/Finance/PublicInfo/Guidelines/,2023-10-03T11:26:59,medium
audit_0034.xlsx,.xlsx,196,C:/Finance/Accounts/,2025-05-08T03:26:57,low
profile_0035.docx,.docx,171,C:/Finance/Customers/,2022-12-13T07:11:32,high
policy_ledger_0036.csv,.csv,97,C:/Finance/Accounts/,2024-04-12T23:34:17,low
analysis_0037.csv,.csv,795,C:/Finance/Reports/,2025-05-06T16:10:03,high
report_0038.xlsx,.xlsx,235,C:/Finance/Reports/,2022-01-03T15:03:19,low
schedule_notice_0039.csv,.csv,559,C:/Finance/PublicInfo/Guidelines/,2025-08-10T08:18:04,low
policy_contract_0040.csv,.csv,442,C:/Finance/Customers/,2023-08-12T23:33:37,low
menu_loan_0041.xls,.xls,1408,C:/Finance/Loans/,2023-11-18T06:58:35,low
info_notice_0042.txt,.txt,68,C:/Finance/PublicInfo/Announcements/,2022-05-26T01:43:37,low
transfer_0043_v2.xlsx,.xlsx,593,C:/Finance/Transactions/,2025-10-08T13:34:42,low
guideline_0044.docx,.docx,123,C:/Finance/Internal/Policies/,2025-08-29T15:32:57,high
customer_0045.csv,.csv,579,C:/Finance/Customers/,2024-04-05T02:01:54,high
schedule_0046.txt,.txt,85,C:/Finance/PublicInfo/Guidelines/,2023-11-24T16:51:51,low
