filename,extension,filesize_kb,file_path,date_modified,sensitive,keywords
test_0000.xls,.xls,2100,C:/Healthcare/LabResults/,2025-04-27T04:44:17,1,[]
diagnosis_lab_0001.csv,.csv,46,C:/Healthcare/LabResults/,2025-10-06T13:26:52,1,['diagnosis']
parking_0002.pdf,.pdf,1376,C:/Healthcare/PublicInfo/,2024-06-12T13:27:31,1,[]
payroll_agenda_0003.pdf,.pdf,1645,C:/Healthcare/Meetings/,2023-03-09T11:56:59,1,['payroll']
medical_guideline_0004.pdf,.pdf,429,C:/Healthcare/Internal/,2025-06-15T21:14:53,0,['medical']
roster_0005.pdf,.pdf,2282,C:/Healthcare/StaffSchedules/,2023-06-06T21:36:22,0,[]
parking_0006.pdf,.pdf,104,C:/Healthcare/PublicInfo/,2025-11-27T20:30:14,0,[]
results_0007.csv,.csv,124,C:/Healthcare/LabResults/,2025-09-21T04:55:13,1,[]
roster_0008.pdf,.pdf,610,C:/Healthcare/StaffSchedules/,2023-11-24T18:00:37,1,[]
workorder_0009.xlsx,.xlsx,84,C:/Healthcare/Maintenance/,2024-01-19T02:56:23,0,[]
agenda_0010.txt,.txt,52,C:/Healthcare/Meetings/,2025-02-05T15:36:14,0,[]
lab_0011.pdf,.pdf,887,C:/Healthcare/LabResults/,2024-08-20T17:09:54,1,[]
info_0012.txt,.txt,2,C:/Healthcare/PublicInfo/,2025-11-22T18:48:13,0,[]
specimen_0013.csv,.csv,175,C:/Healthcare/LabResults/,2023-09-03T16:32:54,0,[]
procedure_0014.docx,.docx,161,C:/Healthcare/Internal/,2023-06-15T07:16:58,0,[]
meeting_0015.txt,.txt,44,C:/Healthcare/Meetings/,2025-04-03T21:01:04,1,[]
prescription_consent_0016.xlsx,.xlsx,330,C:/Healthcare/Patients/,2023-03-31T23:36:24,0,['prescription']
credentials_roster_0017.pdf,.pdf,122,C:/Healthcare/StaffSchedules/,2023-07-15T08:41:30,0,['credentials']
reimbursement_0018.docx,.docx,271,C:/Healthcare/Insurance/,2025-04-17T18:24:55,0,[]
shift_0019.pdf,.pdf,541,C:/Healthcare/StaffSchedules/,2023-07-07T23:21:48,0,[]
passwords_shift_0020.xlsx,.xlsx,1229,C:/Healthcare/StaffSchedules/,2025-09-07T09:13:25,1,['passwords']
patient_0021.pdf,.pdf,1316,C:/Healthcare/Patients/,2023-11-29T19:19:37,1,[]
reimbursement_0022.csv,.csv,736,C:/Healthcare/Insurance/,2023-05-27T12:43:14,1,[]
test_0023.csv,.csv,305,C:/Healthcare/LabResults/,2025-09-30T19:19:38,0,[]
test_0024.xls,.xls,569,C:/Healthcare/LabResults/,2023-08-06T18:22:29,1,[]
info_0025.pdf,.pdf,1485,C:/Healthcare/PublicInfo/,2025-05-04T21:36:53,0,[]
specimen_0026.xls,.xls,1239,C:/Healthcare/LabResults/,2023-09-16T08:31:39,0,[]
menu_0027.txt,.txt,36,C:/Healthcare/PublicInfo/,2024-08-11T17:08:31,0,[]
record_0028.csv,.csv,209,C:/Healthcare/Patients/,2025-05-13T08:32:41,0,[]
guideline_0029.docx,.docx,439,C:/Healthcare/Internal/,2024-05-02T04:02:05,1,[]
consent_0030.pdf,.pdf,2071,C:/Healthcare/Patients/,2023-05-05T10:46:18,0,[]
claim_0031.pdf,.pdf,2663,C:/Healthcare/Insurance/,2024-01-18T11:34:24,1,[]
consent_0032.xlsx,.xlsx,419,C:/Healthcare/Patients/,2025-11-06T09:11:38,0,[]
consent_workorder_0033.xlsx,.xlsx,196,C:/Healthcare/Maintenance/,2023-04-23T16:36:12,1,['consent']
diagnosis_0034.docx,.docx,550,C:/Healthcare/Patients/,2024-06-26T03:59:32,1,[]
test_0035.pdf,.pdf,56,C:/Healthcare/LabResults/,2025-10-12T22:00:15,0,[]
diagnosis_0036.xlsx,.xlsx,977,C:/Healthcare/Patients/,2023-06-29T07:29:33,0,[]
results_0037.csv,.csv,229,C:/Healthcare/LabResults/,2025-09-12T06:06:17,0,[]
agenda_0038.docx,.docx,656,C:/Healthcare/Meetings/,2024-03-05T19:23:11,0,[]
visit_0039.pdf,.pdf,800,C:/Healthcare/Patients/,2024-10-26T09:19:26,1,[]
visit_0040.pdf,.pdf,316,C:/Healthcare/Patients/,2023-07-17T23:30:48,0,[]
patient_0041.docx,.docx,469,C:/Healthcare/Patients/,2025-05-19T17:58:13,1,[]
menu_0042.csv,.csv,654,C:/Healthcare/PublicInfo/,2023-10-03T00:59:26,1,[]
parking_0043.pdf,.pdf,76,C:/Healthcare/PublicInfo/,2024-01-21T12:20:43,0,[]
confidential_meeting_0044.pdf,.pdf,1074,C:/Healthcare/Meetings/,2024-12-16T01:20:54,0,['confidential']
maintenance_0045.xlsx,.xlsx,166,C:/Healthcare/Maintenance/,2023-04-18T20:11:35,0,[]
meeting_0046.docx,.docx,355,C:/Healthcare/Meetings/,2023-06-29T04:15:07,0,[]
audit_agenda_0047.pdf,.pdf,769,C:/Healthcare/Meetings/,2025-07-30T17:06:14,1,['audit']
specimen_0048.xlsx,.xlsx,224,C:/Healthcare/LabResults/,2025-04-16T10:56:43,1,[]
roster_0049.csv,.csv,30,C:/Healthcare/StaffSchedules/,2023-07-13T14:22:06,0,[]
meeting_0050.docx,.docx,321,C:/Healthcare/Meetings/,2024-10-15T03:22:31,0,[]
menu_0051.csv,.csv,263,C:/Healthcare/PublicInfo/,2024-03-21T16:55:07,0,[]
schedule_0052.csv,.csv,46,C:/Healthcare/StaffSchedules/,2025-03-05T01:56:52,0,[]
procedure_0053.xlsx,.xlsx,488,C:/Healthcare/Internal/,2024-06-04T16:43:26,1,[]
results_0054.pdf,.pdf,1000,C:/Healthcare/LabResults/,2024-01-16T08:23:29,1,[]
protocol_0055.pdf,.pdf,408,C:/Healthcare/Internal/,2024-08-19T11:45:17,0,[]
protocol_0056.pdf,.pdf,860,C:/Healthcare/Internal/,2023-06-15T13:51:44,1,[]
diagnosis_info_0057.pdf,.pdf,1054,C:/Healthcare/PublicInfo/,2024-12-22T19:09:19,0,['diagnosis']
workorder_0058.txt,.txt,104,C:/Healthcare/Maintenance/,2024-11-23T16:51:51,0,[]
