filename,extension,filesize_kb,file_path,date_modified,sensitivity
results_results_0000.xls,.xls,1279,C:/Healthcare/LabResults/,2023-02-16T06:55:15,low
notice_specimen_0001.xls,.xls,880,C:/Healthcare/LabResults/,2023-01-11T02:17:28,low
menu_policy_0002.docx,.docx,1153,C:/Healthcare/Insurance/,2025-07-26T20:32:16,high
meeting_0003.txt,.txt,14,C:/Healthcare/Meetings/,2025-08-18T20:05:15,low
maintenance_0004.pdf,.pdf,267,C:/Healthcare/Maintenance/,2023-06-06T21:36:22,low
parking_0005.pdf,.pdf,492,C:/Healthcare/PublicInfo/Menu/,2025-11-27T20:30:14,low
lab_results_0006.csv,.csv,31,C:/Healthcare/LabResults/,2025-11-29T12:16:09,low
maintenance_0007.txt,.txt,77,C:/Healthcare/Maintenance/,2024-02-20T22:06:12,low
test_0008.xls,.xls,1440,C:/Healthcare/LabResults/,2023-08-10T22:38:20,medium
meeting_0009.pdf,.pdf,1205,C:/Healthcare/Meetings/,2023-12-07T16:52:13,low
report_claim_0010.docx,.docx,92,C:/Healthcare/Insurance/,2025-07-14T16:19:50,low
notice_0011.txt,.txt,138,C:/Healthcare/PublicInfo/Parking/,2024-06-12T10:39:39,medium
report_test_0012.xls,.xls,726,C:/Healthcare/LabResults/,2025-09-19T13:45:49,medium
test_menu_0013.txt,.txt,1,C:/Healthcare/PublicInfo/Notices/,2025-07-19T10:16:21,low
summary_workorder_0014.pdf,.pdf,1932,C:/Healthcare/Maintenance/,2023-04-18T12:25:46,low
invoice_menu_0015.csv,.csv,362,C:/Healthcare/PublicInfo/Notices/,2025-12-07T16:07:46,low
public_schedule_0016.pdf,.pdf,712,C:/Healthcare/StaffSchedules/,2023-02-02T16:12:50,low
protocol_0017_final.pdf,.pdf,2074,C:/Healthcare/Internal/Protocols/,2023-04-21T01:45:12,medium
menu_0018.pdf,.pdf,1272,C:/Healthcare/PublicInfo/Notices/,2024-01-13T11:35:37,low
report_info_0019.csv,.csv,577,C:/Healthcare/PublicInfo/Parking/,2025-09-30T19:19:38,low
lab_0020.xls,.xls,109,C:/Healthcare/LabResults/,2024-03-08T16:54:56,high
info_0021.pdf,.pdf,1744,C:/Healthcare/PublicInfo/Parking/,2025-04-19T18:34:44,low
visit_0022.csv,.csv,338,C:/Healthcare/Patients/,2023-04-02T02:05:10,low
coverage_0023.docx,.docx,281,C:/Healthcare/Insurance/,2025-05-13T08:32:41,low
notice_notice_0024.pdf,.pdf,813,C:/Healthcare/PublicInfo/Parking/,2023-09-02T13:31:03,low
results_patient_0025.csv,.csv,761,C:/Healthcare/Patients/,2024-01-18T11:34:24,medium
guideline_0026.pdf,.pdf,475,C:/Healthcare/Internal/Protocols/,2025-11-06T09:11:38,low
public_log_0027.xlsx,.xlsx,1343,C:/Healthcare/Maintenance/,2025-05-24T13:55:27,low
summary_results_0028.xls,.xls,339,C:/Healthcare/LabResults/,2025-04-23T20:38:00,low
meeting_0029.docx,.docx,280,C:/Healthcare/Meetings/,2023-06-10T21:59:04,low
reimbursement_0030.pdf,.pdf,1072,C:/Healthcare/Insurance/,2025-12-03T23:45:02,medium
test_minutes_0031_archived.docx,.docx,360,C:/Healthcare/Meetings/,2024-02-11T22:24:00,high
invoice_0032.csv,.csv,741,C:/Healthcare/Insurance/,2023-08-20T13:08:47,high
announcement_menu_0033.pdf,.pdf,2221,C:/Healthcare/PublicInfo/Notices/,2023-03-03T23:23:19,low
